source,dim,field,water,famly,species,type,prey_cellularity,vert,major_grouping_prey_1,major_grouping_prey_2,prey,prey_species,prey_type,data_type,replace_prey,starvation_time,temp,interference,preds_per_arena,arena_2d,arena_3d,pred_mass,pred_mass_source_code,pred_mass_reg_code,prey_mass,prey_mass_source_code,prey_mass_reg_code,a_units,mean_r2_of_fits,a,a_low,a_hi,h,h_low,h_hi,n_boots,notes_1,notes_2
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? D,Metazoan,Invertebrate,Insect,Coenagrionidae,Damselfly naiads,Enallagma spp.,Small,Mean,N,18,21.5,,1,,60000,2.27E+03,Original species length,Species,3.32E+01,Original genus length,Order,m^3 per pred per day,0.68,1.43E-01,1.32E-01,1.54E-01,2.44E-11,2.41E-11,2.47E-11,200,180 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? E,Metazoan,Invertebrate,Insect,Coenagrionidae,Damselfly naiads,Enallagma spp.,Large,Mean,N,18,21.5,,1,,60000,2.17E+03,Original species length,Species,1.05E+02,Original genus length,Order,m^3 per pred per day,0.48,1.14E+00,9.86E-01,1.34E+00,6.76E-04,6.05E-04,7.52E-04,200,5 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? E,Metazoan,Invertebrate,Insect,Coenagrionidae,Damselfly naiads,Enallagma spp.,Large,Mean,N,18,21.5,,1,,60000,2.17E+03,Original species length,Species,1.05E+02,Original genus length,Order,m^3 per pred per day,0.1,3.37E+00,2.06E+00,6.73E+00,1.47E-03,1.33E-03,1.63E-03,200,31 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? E,Metazoan,Invertebrate,Insect,Coenagrionidae,Damselfly naiads,Enallagma spp.,Large,Mean,N,18,21.5,,1,,60000,2.17E+03,Original species length,Species,1.05E+02,Original genus length,Order,m^3 per pred per day,0.32,1.12E+00,9.59E-01,1.38E+00,1.18E-03,1.09E-03,1.32E-03,200,180 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? E,Metazoan,Invertebrate,Insect,Coenagrionidae,Damselfly naiads,Enallagma spp.,Large,Mean,N,18,21.5,,1,,60000,2.17E+03,Original species length,Species,1.05E+02,Original genus length,Order,m^3 per pred per day,0.17,7.72E-01,6.48E-01,9.87E-01,2.78E-03,2.56E-03,3.11E-03,200,1710 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? F,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex,,Mean,N,18,21.5,,1,,60000,2.45E+03,Original species length,Species,3.53E-01,Average species mass,,m^3 per pred per day,0.26,1.41E+01,1.11E+01,1.91E+01,6.13E-05,5.84E-05,6.51E-05,200,Cu Treated Prey/5 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? F,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulex,,Mean,N,18,21.5,,1,,60000,2.45E+03,Original species length,Species,3.53E-01,Average species mass,,m^3 per pred per day,0,2.01E+02,1.01E+02,3.31E+02,6.88E-05,6.65E-05,7.16E-05,200,Cu Treated Prey/31 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? G,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia magna,,Mean,N,18,21.5,,1,,60000,3.24E+03,Original species length,Species,9.90E-01,Average species mass,,m^3 per pred per day,0.78,1.69E+01,1.48E+01,1.95E+01,3.28E-05,3.03E-05,3.56E-05,200,Cu Treated Prey/5 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? G,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia magna,,Mean,N,18,21.5,,1,,60000,3.24E+03,Original species length,Species,9.90E-01,Average species mass,,m^3 per pred per day,0.79,1.14E+01,9.93E+00,1.31E+01,5.05E-05,4.64E-05,5.36E-05,200,Cu Treated Prey/31 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? H,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Hyalella azteca,,Mean,N,18,21.5,,1,,60000,1.27E+03,Original species length,Species,1.00E+00,Alternate species mass,,m^3 per pred per day,0.17,1.87E+00,1.42E+00,2.75E+00,3.32E-04,2.96E-04,3.68E-04,200,Cu Treated Prey/5 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? H,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Hyalella azteca,,Mean,N,18,21.5,,1,,60000,1.27E+03,Original species length,Species,1.00E+00,Alternate species mass,,m^3 per pred per day,0.06,2.88E+00,1.71E+00,9.26E+00,4.46E-04,3.92E-04,4.95E-04,200,Cu Treated Prey/31 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? H,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Hyalella azteca,,Mean,N,18,21.5,,1,,60000,1.27E+03,Original species length,Species,1.00E+00,Alternate species mass,,m^3 per pred per day,0.5,7.87E-01,6.65E-01,9.21E-01,2.26E-04,1.96E-04,2.57E-04,200,Cu Treated Prey/180 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? I,Metazoan,Invertebrate,Insect,Coenagrionidae,Damselfly naiads,Enallagma spp.,Small,Mean,N,18,21.5,,1,,60000,3.34E+03,Original species length,Species,3.32E+01,Original genus length,Order,m^3 per pred per day,0.13,1.15E+00,8.15E-01,2.15E+00,5.91E-04,5.09E-04,6.90E-04,200,Cu Treated Prey/5 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? I,Metazoan,Invertebrate,Insect,Coenagrionidae,Damselfly naiads,Enallagma spp.,Small,Mean,N,18,21.5,,1,,60000,3.34E+03,Original species length,Species,3.32E+01,Original genus length,Order,m^3 per pred per day,0.39,1.61E-01,1.30E-01,2.11E-01,2.01E-04,1.24E-09,4.14E-04,200,Cu Treated Prey/31 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? I,Metazoan,Invertebrate,Insect,Coenagrionidae,Damselfly naiads,Enallagma spp.,Small,Mean,N,18,21.5,,1,,60000,3.34E+03,Original species length,Species,3.32E+01,Original genus length,Order,m^3 per pred per day,0.05,1.17E+00,8.47E-01,2.04E+00,9.50E-04,8.57E-04,1.05E-03,200,Cu Treated Prey/180 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? J,Metazoan,Invertebrate,Insect,Coenagrionidae,Damselfly naiads,Enallagma spp.,Large,Mean,N,18,21.5,,1,,60000,1.96E+03,Original species length,Species,1.05E+02,Original genus length,Order,m^3 per pred per day,0.01,8.97E+00,3.79E+00,4.33E+01,2.15E-03,1.93E-03,2.33E-03,200,Cu Treated Prey/5 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? J,Metazoan,Invertebrate,Insect,Coenagrionidae,Damselfly naiads,Enallagma spp.,Large,Mean,N,18,21.5,,1,,60000,1.96E+03,Original species length,Species,1.05E+02,Original genus length,Order,m^3 per pred per day,0.19,9.09E-01,6.59E-01,1.30E+00,2.80E-03,2.53E-03,3.14E-03,200,Cu Treated Prey/31 ?g Cu/L,
Sandheinrich and Atchison 1989 CJFAS,3,,Fresh,Perciformes,Lepomis macrochirus,Adult? J,Metazoan,Invertebrate,Insect,Coenagrionidae,Damselfly naiads,Enallagma spp.,Large,Mean,N,18,21.5,,1,,60000,1.96E+03,Original species length,Species,1.05E+02,Original genus length,Order,m^3 per pred per day,0.49,1.57E-01,1.42E-01,1.75E-01,2.37E-11,2.35E-11,2.42E-11,200,Cu Treated Prey/180 ?g Cu/L,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Clupeiformes,Anchoa mitchilli,Larva A,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Small","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,26,,12,,10000,2.00E-02,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.98,1.30E-03,1.13E-03,1.52E-03,9.31E-04,7.16E-04,1.23E-03,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Perciformes,Archosargus rhomboidalis,Larva A,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Small","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,26,,12,,10000,2.00E-02,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.95,8.50E-04,7.13E-04,1.01E-03,1.80E-03,1.14E-03,2.56E-03,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Pleuronectiformes,Achirus lineatus,Larva A,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Small","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,28,,12,,10000,2.00E-02,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.97,6.86E-04,5.88E-04,8.02E-04,8.40E-04,4.61E-04,1.27E-03,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Clupeiformes,Anchoa mitchilli,Larva B,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Small","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,26,,12,,10000,1.50E-02,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.97,9.91E-04,8.31E-04,1.17E-03,1.31E-03,9.72E-04,1.68E-03,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Perciformes,Archosargus rhomboidalis,Larva B,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Small","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,26,,12,,10000,1.50E-02,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.96,5.39E-04,4.38E-04,6.45E-04,1.93E-03,7.89E-04,3.28E-03,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Pleuronectiformes,Achirus lineatus,Larva B,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Small","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,28,,12,,10000,1.50E-02,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.98,3.70E-04,3.31E-04,4.09E-04,1.21E-10,1.03E-12,4.74E-04,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Clupeiformes,Anchoa mitchilli,Larva C,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Small","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,26,,12,,10000,1.00E-02,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.96,5.54E-04,4.53E-04,6.64E-04,3.12E-03,2.42E-03,3.94E-03,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Perciformes,Archosargus rhomboidalis,Larva C,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Small","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,26,,12,,10000,1.00E-02,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.9,3.86E-04,3.07E-04,4.92E-04,5.51E-03,2.87E-03,7.85E-03,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Pleuronectiformes,Achirus lineatus,Larva C,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Small","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,28,,12,,10000,1.00E-02,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.97,2.17E-04,1.86E-04,2.53E-04,1.10E-03,9.98E-11,2.23E-03,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Clupeiformes,Anchoa mitchilli,Larva D,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Large","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,26,,12,,10000,2.00E-01,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.97,7.10E-03,6.28E-03,8.44E-03,6.18E-04,5.39E-04,7.12E-04,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Perciformes,Archosargus rhomboidalis,Larva D,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Large","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,26,,12,,10000,2.00E-01,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.7,5.66E-03,4.83E-03,6.87E-03,1.82E-03,1.59E-03,2.16E-03,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Pleuronectiformes,Achirus lineatus,Larva D,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Large","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,28,,12,,10000,2.00E-01,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.96,2.71E-03,2.32E-03,3.20E-03,1.28E-03,1.09E-03,1.55E-03,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Clupeiformes,Anchoa mitchilli,Larva E,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Large","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,26,,12,,10000,1.00E-01,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.97,4.13E-03,3.60E-03,4.68E-03,8.26E-04,7.09E-04,9.84E-04,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Perciformes,Archosargus rhomboidalis,Larva E,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Large","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,26,,12,,10000,1.00E-01,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.8,3.12E-03,2.52E-03,3.72E-03,2.30E-03,1.90E-03,2.73E-03,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Pleuronectiformes,Achirus lineatus,Larva E,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Large","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,28,,12,,10000,1.00E-01,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.96,1.77E-03,1.48E-03,2.04E-03,1.54E-03,1.31E-03,1.86E-03,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Clupeiformes,Anchoa mitchilli,Larva F,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Small","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,26,,12,,10000,5.00E-02,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.98,4.27E-03,3.76E-03,4.93E-03,6.07E-04,5.08E-04,7.22E-04,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Perciformes,Archosargus rhomboidalis,Larva F,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Small","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,26,,12,,10000,5.00E-02,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.92,2.92E-03,2.37E-03,3.51E-03,1.56E-03,1.29E-03,1.92E-03,200,,
Houde and Schekter 1980 ENVIRMTAL BIOL OF FISHES,3,,Marine,Pleuronectiformes,Achirus lineatus,Larva F,Metazoan,Invertebrate,Crustacean,Copepod,"Nauplii and copepodites, Large","Oithona nana, Acartia tonsa, and Paracalanus parvus",Composed primarily of these 3 prey species,Mean,N,,28,,12,,10000,5.00E-02,Original species mass,,3.00E-04,Original species mass,,m^3 per pred per day,0.97,8.97E-04,7.73E-04,1.03E-03,1.76E-03,1.32E-03,2.17E-03,200,,
Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH,3,,Fresh,Salmoniformes,Salvelinus namaycush,"<1 year old, Small",Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulicaria,adult,Mean,N,24,11.5,,1,,20000,4.20E+03,Original species mass,,6.36E-01,Original species length,Order,m^3 per pred per day,0.98,1.55E+01,1.55E+01,1.55E+01,1.58E-05,1.58E-05,1.58E-05,200,Control/Experience with Bythotrephes,
Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH,3,,Fresh,Salmoniformes,Salvelinus namaycush,"<1 year old, Small",Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulicaria,adult,Mean,N,24,11.5,,1,,20000,4.20E+03,Original species mass,,6.36E-01,Original species length,Order,m^3 per pred per day,0.76,1.61E+01,1.61E+01,1.61E+01,2.85E-05,2.85E-05,2.85E-05,200,5 Bythotrephes cederstroemi present/avg length 10mm/adults/prior experience with bythotrephes,
Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH,3,,Fresh,Salmoniformes,Salvelinus namaycush,"<1 year old, Small",Metazoan,Invertebrate,Crustacean,Cladoceran,Spiny water flea,Bythotrephes cederstroemi,adult,Mean,N,24,11.5,,1,,20000,4.20E+03,Original species mass,,5.18E+00,Original species length,Order,m^3 per pred per day,1,8.77E+00,8.76E+00,8.79E+00,1.39E-04,1.38E-04,1.39E-04,200,"20, 40, 60 Daphnia pulicaria present/prior experience with Bythotrephes",
Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH,3,,Fresh,Salmoniformes,Salvelinus namaycush,"<1 year old, Small",Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulicaria,adult,Mean,N,24,11.5,,1,,20000,4.20E+03,Original species mass,,6.36E-01,Original species length,Order,m^3 per pred per day,0.99,1.04E+01,1.04E+01,1.04E+01,1.66E-05,1.66E-05,1.67E-05,200,10 Bythotrephes cederstroemi present/avg length 10mm/adults/prior experience with bythotrephes,
Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH,3,,Fresh,Salmoniformes,Salvelinus namaycush,"<1 year old, Small",Metazoan,Invertebrate,Crustacean,Cladoceran,Spiny water flea,Bythotrephes cederstroemi,adult,Mean,N,24,11.5,,1,,20000,4.20E+03,Original species mass,,5.18E+00,Original species length,Order,m^3 per pred per day,0.57,1.71E+01,1.70E+01,1.72E+01,4.98E-04,4.97E-04,4.98E-04,200,"20, 40, 60 Daphnia pulicaria present/prior experience with Bythotrephes",
Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH,3,,Fresh,Salmoniformes,Salvelinus namaycush,"<1 year old, Small",Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulicaria,adult,Mean,N,24,11.5,,1,,20000,4.20E+03,Original species mass,,6.36E-01,Original species length,Order,m^3 per pred per day,1,1.30E+01,1.30E+01,1.31E+01,1.31E-05,1.31E-05,1.32E-05,200,15 Bythotrephes cederstroemi present/avg length 10mm/adults/prior experience with bythotrephes,
Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH,3,,Fresh,Salmoniformes,Salvelinus namaycush,"<1 year old, Small",Metazoan,Invertebrate,Crustacean,Cladoceran,Spiny water flea,Bythotrephes cederstroemi,adult,Mean,N,24,11.5,,1,,20000,4.20E+03,Original species mass,,5.18E+00,Original species length,Order,m^3 per pred per day,0.98,1.11E+01,1.10E+01,1.11E+01,4.42E-04,4.42E-04,4.43E-04,200,"20, 40, 60 Daphnia pulicaria present/prior experience with Bythotrephes",
Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH,3,,Fresh,Salmoniformes,Salvelinus namaycush,"<1 year old, Small",Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulicaria,adult,Mean,N,24,11.5,,1,,20000,4.20E+03,Original species mass,,6.36E-01,Original species length,Order,m^3 per pred per day,0.87,1.91E+01,1.91E+01,1.92E+01,5.89E-05,5.88E-05,5.90E-05,200,na?ve to Bythotrephes/control,
Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH,3,,Fresh,Salmoniformes,Salvelinus namaycush,"<1 year old, Large",Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulicaria,adult,Mean,N,24,11.5,,1,,20000,4.80E+03,Original species mass,,6.36E-01,Original species length,Order,m^3 per pred per day,0.98,1.55E+01,1.55E+01,1.55E+01,5.07E-05,5.06E-05,5.07E-05,200,na?ve to Bythotrephes/control,
Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH,3,,Fresh,Salmoniformes,Salvelinus namaycush,"<1 year old, Small",Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulicaria,adult,Mean,N,24,11.5,,1,,20000,4.20E+03,Original species mass,,6.36E-01,Original species length,Order,m^3 per pred per day,0.93,6.86E+00,6.86E+00,6.87E+00,2.78E-05,2.77E-05,2.78E-05,200,"Consumption rate averaged over four densities of Bythotrephes (5, 10, 15, 20)/na?ve to Bythotrephes",
Barnhisel and Kerfoot 2004 J OF GREAT LAKES RSRCH,3,,Fresh,Salmoniformes,Salvelinus namaycush,"<1 year old, Large",Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia pulicaria,adult,Mean,N,24,11.5,,1,,20000,4.80E+03,Original species mass,,6.36E-01,Original species length,Order,m^3 per pred per day,0.97,4.50E+00,4.50E+00,4.50E+00,6.15E-14,6.15E-14,6.15E-14,200,"Consumption rate averaged over four densities of Bythotrephes (5, 10, 15, 20)/na?ve to Bythotrephes",
Ware 1972 J FISH RES BOARD CAN,3,,Fresh,Salmoniformes,Oncorhynchus mykiss,Wild caught,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Crangonyx richmondensis,adult,Raw data,N,48,10,,1,,227000,3.71E+04,Original species length,Species,5.20E+00,Original species mass,,m^3 per pred per day,0.87,7.04E+00,6.71E+00,7.10E+00,2.27E-05,1.00E-08,2.74E-05,200,No substrate,
Ware 1972 J FISH RES BOARD CAN,3,,Fresh,Salmoniformes,Oncorhynchus mykiss,Wild caught,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Crangonyx richmondensis,adult,Raw data,N,48,10,,1,,227000,3.71E+04,Original species length,Species,5.20E+00,Original species mass,,m^3 per pred per day,0.91,5.28E+00,4.59E+00,7.20E+00,1.24E-12,1.19E-12,1.47E-04,200,6% of tank bottom covered with substrate,
Ware 1972 J FISH RES BOARD CAN,3,,Fresh,Salmoniformes,Oncorhynchus mykiss,Wild caught,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Crangonyx richmondensis,adult,Raw data,N,48,10,,1,,227000,3.71E+04,Original species length,Species,5.20E+00,Original species mass,,m^3 per pred per day,0.42,6.41E+00,3.66E+00,1.33E+02,4.60E-04,5.12E-12,1.11E-03,200,10% of tank bottom covered with substrate,
Ware 1972 J FISH RES BOARD CAN,3,,Fresh,Salmoniformes,Oncorhynchus mykiss,Wild caught,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Crangonyx richmondensis,juvenile,Raw data,N,48,10,,1,,227000,3.71E+04,Original species length,Species,1.00E+00,Original species mass,,m^3 per pred per day,0.91,3.13E+00,2.73E+00,7.30E+00,2.90E-12,1.20E-12,5.37E-04,200,10% of tank bottom covered with substrate,
Ware 1972 J FISH RES BOARD CAN,3,,Fresh,Salmoniformes,Oncorhynchus mykiss,Wild caught,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Crangonyx richmondensis,adult,Raw data,N,48,10,,1,,227000,3.71E+04,Original species length,Species,5.20E+00,Original species mass,,m^3 per pred per day,0.92,1.84E+00,1.53E+00,3.12E+00,2.49E-11,1.19E-12,8.18E-04,200,0.4-0.7 mm diameter litter to a depth of 4mm,
Ware 1972 J FISH RES BOARD CAN,3,,Fresh,Salmoniformes,Oncorhynchus mykiss,Wild caught,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Hyalella azteca,adult,Raw data,N,48,10,,1,,227000,3.71E+04,Original species length,Species,1.00E+00,Original species mass,,m^3 per pred per day,1,6.36E+00,6.19E+00,6.59E+00,3.08E-13,6.18E-14,2.19E-05,200,No substrate,
Ware 1972 J FISH RES BOARD CAN,3,,Fresh,Salmoniformes,Oncorhynchus mykiss,Wild caught,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Hyalella azteca,adult,Raw data,N,48,10,,1,,227000,3.71E+04,Original species length,Species,1.00E+00,Original species mass,,m^3 per pred per day,0.99,5.20E+00,5.03E+00,5.80E+00,1.03E-06,6.21E-14,6.98E-05,200,6% of tank bottom covered with substrate,
Ware 1972 J FISH RES BOARD CAN,3,,Fresh,Salmoniformes,Oncorhynchus mykiss,Wild caught,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Hyalella azteca,adult,Raw data,N,48,10,,1,,227000,3.71E+04,Original species length,Species,1.00E+00,Original species mass,,m^3 per pred per day,0.95,4.03E+00,3.58E+00,4.58E+00,1.24E-12,1.19E-12,3.65E-05,200,10% of tank bottom covered with substrate,
Ware 1972 J FISH RES BOARD CAN,3,,Fresh,Salmoniformes,Oncorhynchus mykiss,Wild caught,Metazoan,Invertebrate,Crustacean,Amphipod,Amphipod,Hyalella azteca,adult,Raw data,N,48,10,,1,,227000,3.71E+04,Original species length,Species,1.00E+00,Original species mass,,m^3 per pred per day,0.77,8.62E-01,6.40E-01,2.78E+00,2.42E-11,2.21E-11,4.01E-03,200,0.4-0.7 mm diameter litter to a depth of 4mm,
Letcher et al 1997 CJFAS,3,,Fresh,Perciformes,Perca fluviatilis,18 days old,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,Y,,22,,10,,9000,1.05E+01,Original species length,Species,,,,m^3 per pred per day,0.73,6.52E-03,5.20E-03,8.39E-03,1.86E-03,1.69E-03,2.07E-03,200,,
Letcher et al 1997 CJFAS,3,,Fresh,Salmoniformes,Coregonus hoyi,3 days old,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,Y,,22,,10,,9000,1.45E+01,Original species length,Species,,,,m^3 per pred per day,0.61,3.06E-03,2.01E-03,4.84E-03,8.19E-04,5.57E-04,1.08E-03,200,,
