Source,Predator scientific name,Prey scientific name,duration,duration1,duration_notes,units,locale,country,country_notes
Wright et al 1993 ENVIRONMENTAL BIOL OF FISHES,Paralichthys lethostigma,Leiostomus xanthurus,NA,NA,NA,NA,NA,NA,NA
Barrios-O'Neill et al 2014 J OF ANIMAL ECOL,Gasterosteus aculeatus,Daphnia magna,NA,NA,NA,NA,NA,NA,NA
Munk 1995 MARINE BIOLOGY,Gadus morhua,Acartia tonsa,NA,NA,NA,NA,NA,NA,NA
Wasserman et al 2016 FUNCTIONAL ECOLOGY,Lepomis macrochirus,Oreochromis mossambicus,NA,NA,NA,NA,NA,NA,NA
Wasserman et al 2016 FUNCTIONAL ECOLOGY,Pseudocrenilabrus philander,Oreochromis mossambicus,NA,NA,NA,NA,NA,NA,NA
Wasserman et al 2016 FUNCTIONAL ECOLOGY,Tilapia sparrmanii,Oreochromis mossambicus,NA,NA,NA,NA,NA,NA,NA
Oyugi et al 2012 J OF THERMAL BIOLOGY,Cyprinus carpio,,NA,NA,NA,NA,NA,NA,NA
De Villemereuil and L?pez-Sepulcre 2011 ECOL MOD,Poecilia reticulata,,NA,NA,NA,NA,NA,NA,NA
De Villemereuil and L?pez-Sepulcre 2011 ECOL MOD,Anablepsoides hartii,,NA,NA,NA,NA,NA,NA,NA
Kroetz and Powers 2015 ENV BIOL FISHES,Sphyrna tiburo,Farfantepenaeus aztecus,NA,NA,NA,NA,NA,NA,NA
Gibson and Ezzi 1992 J OF FISH BIOLOGY,Clupea harengus,Calanus finmarchicus,NA,NA,NA,NA,NA,NA,NA
Gibson and Ezzi 1992 J OF FISH BIOLOGY,Clupea harengus,Artemia spp.,NA,NA,NA,NA,NA,NA,NA
Murray et al 2016 HYDROBIOLOGIA,Rutilus rutilus,,NA,NA,NA,NA,NA,NA,NA
Vollset and Bailey 2011 J OF FISH BIOLOGY,Gasterosteus aculeatus,Artemia spp.,NA,NA,NA,NA,NA,NA,NA
Alexander et al 2015 ENVIRONMENTAL BIOLOGY OF FISHES,Micropterus salmoides,Poecilia reticulata,NA,NA,NA,NA,NA,NA,NA
Ohlberger et al 2008 CJFAS,Coregonus albula,Daphnia magna,NA,NA,NA,NA,NA,NA,NA
Ohlberger et al 2008 CJFAS,Coregonus fontanae,Daphnia magna,NA,NA,NA,NA,NA,NA,NA
Persson and Greenberg 1990 ECOLOGY,Perca fluviatilis,Daphnia spp. ,NA,NA,NA,NA,NA,NA,NA
Hedgespeth et al 2014 AQUATIC TOXICOLOGY,Perca fluviatilis,Daphnia magna,NA,NA,NA,NA,NA,NA,NA
Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES,Perca fluviatilis,Chaoborus obscuripes,NA,NA,NA,NA,NA,NA,NA
Bergman 1987 ENVIRONMENTAL BIOLOGY OF FISHES,Gymnocephalus cernua,Chaoborus obscuripes,NA,NA,NA,NA,NA,NA,NA
Wellington et al 2010 J OF FISH BIOLOGY,Perca flavescens,,NA,NA,NA,NA,NA,NA,NA
Ljunggren and Sandstr?m 2007 J OF FISH BIOLOGY,Perca fluviatilis,Neomysis integer,NA,NA,NA,NA,NA,NA,NA
Ljunggren and Sandstr?m 2007 J OF FISH BIOLOGY,Sander lucioperca,Neomysis integer,NA,NA,NA,NA,NA,NA,NA
Hjelm and Johansson 2003 PRSLB,Rutilus rutilus,,NA,NA,NA,NA,NA,NA,NA
Johansson and Leonardsson 1998 CAN J OF ZOOL,Gambusia affinis,Daphnia pulex,NA,NA,NA,NA,NA,NA,NA
Johansson 1987 OECOLOGIA,Rutilus rutilus,Daphnia magna,NA,NA,NA,NA,NA,NA,NA
Johansson 1987 OECOLOGIA,Scardinius erythrophthalmus,Daphnia magna,NA,NA,NA,NA,NA,NA,NA
Johansson 1987 OECOLOGIA,Rutilus rutilus,Cyclops sp.,NA,NA,NA,NA,NA,NA,NA
Johansson 1987 OECOLOGIA,Scardinius erythrophthalmus,Cyclops sp.,NA,NA,NA,NA,NA,NA,NA
Johnson 2006 ECOLOGY,Sebastes paucispinus,"Sebastes atrovirens, S. carnatus, S. chrysomelas",NA,NA,NA,NA,NA,NA,NA
